evaluator_hash,record_id,condition,specialty,relevance,clarity,utility,time_seconds
eval_001,SYN-CARD-001,specialty-aware,Cardiology,5,5,5,34.2
eval_001,SYN-CARD-001,specialty-agnostic,Cardiology,4,4,4,46.8
eval_002,SYN-DENT-001,specialty-aware,Dentistry,4,5,4,38.5
eval_002,SYN-DENT-001,specialty-agnostic,Dentistry,3,4,3,50.1
eval_003,SYN-ORTH-001,specialty-aware,Orthopedics,5,4,5,36.0
eval_003,SYN-ORTH-001,specialty-agnostic,Orthopedics,4,4,4,45.6
eval_004,SYN-PED-001,specialty-aware,Pediatrics,5,5,5,31.7
eval_004,SYN-PED-001,specialty-agnostic,Pediatrics,4,4,4,43.2
eval_005,SYN-DERM-001,specialty-aware,Dermatology,4,4,4,39.4
eval_005,SYN-DERM-001,specialty-agnostic,Dermatology,3,4,3,51.0
eval_006,SYN-GEN-001,specialty-aware,General Medicine,5,5,5,33.8
eval_006,SYN-GEN-001,specialty-agnostic,General Medicine,4,4,4,47.5
